"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Tree","Bur Oak","Savannah Oak, Mossy-cup Oak","Quercus macrocarpa","Edwards Plateau, Texas Blackland Prairies","60","80","30","50","Sun, Part Shade, Shade","Medium","Deciduous","Perennial","Spring","Yellow, Green, Brown","Nuts, Larval Host","Sand, Clay","Butterflies, Birds, Small Mammals","Woodland","Prune for shape or to raise canopy.","Large, majestic, very adaptable; needs lots of space & deep soil. 200 to 300 year lifespan. Medium growth rate.. Tolerates limey soils better than other oaks. One of  most drought resistant oaks. Acorns are golf-ball sized, largest of all oaks & distinguished by very deep fringed cups. A white oak species, so resistant to Oak Wilt.  Habitat notes: Widely distributed and capable of withstanding a wide range of harsh conditions., Larval Host: Edward's Hairstreak, Horace's Duskywing butterflies.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 341. 4) https://www.wildflower.org/plants/result.php?id_plant=QUMA2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Quercus+macrocarpa&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12130&locationType=County&mapType=Normal., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19287#null"
"","Grass & Sedge","Burro Grass","","Scleropogon brevifolius","Chihuahuan Deserts, Edwards Plateau","0.5","0.75","0.25","0.5","Sun, Part Shade","Low","Deciduous","Perennial","Summer","White, Pink","Nesting Material","Sand, Loam, Clay, Caliche, Calcareous, Well Drained","Birds","Grassland","May go dormant in summer, greening up with late summer/fall rains. Only blooms after rains.  Drought-tolerant, mowable turf grass, Then, let it bloom and seed out before resuming mowing.","Burrograss has an amazingly wide natural range, occurring from Colorado and Nevada south all the way to Argentina. More drought tolerant than Buffalograss. After a rain some individual plants display female flowers of a glowing pink.","1) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 125. 2) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18986&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Scleropogon+brevifolius&formsubmit=Search+Terms. 5) https://www.wildflower.org/plants/result.php?id_plant=SCBR2. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42084#null"
"","Herbaceous","Bush Morning Glory","","Ipomoea leptophylla","High Plains","1","3","1","3","Part Shade","Low","Deciduous","Perennial","Summer","Pink, Purple","Nectar","Sand, Gravelly, Dry","Butterflies, Hummingbirds","Grassland","Large tuber makes plant drought-tolerant but difficult to transplant. Needs deep sand.","Forms large rounded mounds. Large, lavender, funnel-shaped flowers with darker red throats. Delicate, linear leaves. This beautiful wildflower is representative of several species of Ipomoea that, unlike garden morning glories, are not vines. ","1)  Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=IPLE. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=7865&locationType=County&mapType=Normal. 4)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 193, 194, 5) Miller George O., Landscaping with Native Plants of Texas 2nd ed, pg 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30778#null"
"","Herbaceous","Bush Sunflower","Awnless Bush Sunflower","Simsia calva","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","1","3","1","3","Sun","Low","Deciduous","Perennial","Spring, Fall","Orange, Yellow","Seeds, Larval Host","Limestone, Caliche, Well Drained","Butterflies, Birds","Grassland","Extremely drought tolerant plant for a chalk prairie.","Orange and yellow blooms. It provides nectar for butterflies and seeds for songbirds. Larval Host: Bordered Patch Butterfly. Nectar: insects and butterflies.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SICA7. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Simsia+calva&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4329&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38415#null"
"","Grass & Sedge","Bushy Bluestem","Brushy Bluestem","Andropogon glomeratus","Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","3","6","1","2","Sun","High","Deciduous","Perennial","Fall","Brown","Seeds, Larval Host","Sand, Loam, Clay, Poor Drainage, Moist","Butterflies, Birds, Small Mammals, Deer","Grassland,Woodland,Wetland or Riparian","Leave dead stems standing through Fall and Winter for insect habitat. Cut back dead stems in February before Spring growth. ","This makes a dynamic display and is a nice addition for a wetland garden. Larval Host: Skippers and Satyrs.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ANGL2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Andropogon+glomeratus&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=17684&locationType=County&mapType=Normal.  5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40454#null"
"","Herbaceous","Butterfly Gaura","Lindheimer's Beeblossom, White gaura, Clockweed","Oenothera lindheimeri","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","2","5","1","1","Sun","Medium","Deciduous","Perennial","Spring, Summer","White, Pink","","Sand, Loam, Clay, Acid, Calcareous","","Grassland,Woodland,Wetland or Riparian","Cut to 1/2 in July for thicker, more compact foliage. Prune dead material to ground in mid-February.","A large and showy gaura often forming extensive colonies. Flowers open in early morning. Aromatic and showy with ornamental blooms. Looks good in the back of a perennial border or bed. Native Habitat: Prairies; pinelands; pond edges","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=OELI2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15760&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=835999#null"
"","Herbaceous","Butterflyweed Milkweed","Orange Milkweed, Butterflyweed, Butterfly Weed, Pleurisy Root, Chigger Flower, Chiggerweed","Asclepias tuberosa","Cross Timbers, East Central Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","1","2","1","2","Sun","Low","Deciduous","Perennial","Summer","Orange","Nectar, Larval Host","Sand, Loam, Clay, Limestone, Well Drained","Butterflies, Hummingbirds, Bees","Grassland,Woodland","Treat for aphids if plant looks sick with soapy water not pesticides","Attractive to nectaring butterflies. Large taproot. Be patient for plant to get to full size; will take 4 years from a small plant. This species has no milky sap like other milkweeds. Larval Host: Monarch, Queen, and Grey Hairstreak butterflies. Nectar: Black Swallowatail, Tiger Swallowtail, Variegated Fritillary.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ASTU. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Asclepias+tuberosa&formsubmit=Search+Terms. 4)  http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1395&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 179. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52.  7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30313#null"
"","Shrub","Buttonbush","Common Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush","Cephalanthus occidentalis","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","6","12","6","6","Sun","High","Deciduous","Perennial","Summer, Fall","White, Pink","Fruit, Seeds, Nectar","Loam, Clay, Moist, Neutral","Butterflies, Birds, Bees","Wetland or Riparian","Prune to shape as needed","Gather seeds in late summer or early fall before the heads dry and fall apart. Flowers are good bee food, seeds attract 25 species of birds. Native Habitat:  In swamps, around ponds and margins of streams throughout the state. Nectar: Common Wood Nymph, Painted Lady.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CEOC2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cephalanthus+occidentalis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21992&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 52 6) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 373. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=34786#null"
"","Shrub","Candelilla","Wax Plant","Euphorbia antisyphilitica","Chihuahuan Deserts, Southern Texas Plains","1","3","1","3","Sun","Low","Semi Evergreen","Perennial","Spring, Summer, Fall","White, Pink","Nectar","Sand, Loam, Limestone, Caliche, Well Drained","Nectar Insects","Grassland","Grows in clumps. Attractive accent in desert landscape or rock gardens, Can be grown as a patio pot plant and brought indoors during the winter.","The numerous waxy stems resemble a cluster of slender, pale-green candles, thus the name Candelilla. Tiny, narrow leaves occur only on new growth. The small white flowers are deep pink at the base and grow near the tips the stems. Evergreen only in mild winters. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=EUAN3. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10113&locationType=County&mapType=Normal. 4) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 244. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28042#null"
"","Shrub","Canyon Mock Orange","Canyon Mock-orange, Mock-orange","Philadelphus ernestii","Edwards Plateau","3","5","3","5","Sun, Part Shade","Medium","Deciduous","Perennial","Spring","White","Nectar, Flowers","Well Drained, Moist","Bees","Grassland,Woodland","Plant in a well- drained protected area away from deer.","The showy, white, numerous blooms smell like oranges, making it an ideal plant near outdoor living areas. This is an endemic and rare plant to the Edwards Plateau. Habitat notes: very narrow range of the Edwards Plateau in the Balcones Canyonlands.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=PHER. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12696&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24423#null"
"","Shrub","Canyon Senna","Shrubby Senna, Dwarf Senna, Wislizenus's Senna, Wislizenus's Wild Sensitive-plant, Carrozo, Pinacate, Palo Prieto, Pinacatillo, Hojasén, Ejotillo","Senna wislizeni","Chihuahuan Deserts","4","6","3","4","Sun","Low, Medium","Deciduous","Perennial","Spring, Summer, Fall","Orange, Yellow","Larval Host, Flowers","Sand, Loam, Clay, Acid, Alkaline, Well Drained","Butterflies, Bees","Grassland","Dependable in poor soil and fairly drought-tolerant.  Plant with Red Yucca and other summer blooming species.","Brilliant yellow flowers in 6 in. clusters at the end of the branches. Blooms all summer.  A long, flat, dark-brown pod succeeds the flowers. Rigid, leafy branches are lined with compound foliage arranged spirally on spurs. Warning: toxic to humans.  Larval Host: Cloudless Giant Sulphur.","1) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 236. 2) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 3) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11681&locationType=County&mapType=Normal. 5) https://www.wildflower.org/plants/result.php?id_plant=SEWI3. 6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Senna+wislizeni&formsubmit=Search+Terms. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=505184#null"
"","Herbaceous","Cardinal Flower","","Lobelia cardinalis","Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","1","6","","","Sun, Part Shade, Shade","Medium, High","Deciduous","Perennial","Summer, Fall","Red","Nectar, Flowers","Sand, Loam, Clay, Limestone, Rich, Moist","Butterflies, Hummingbirds","Grassland,Woodland,Wetland or Riparian","The soil must be kept moist at all times. A winter mulching in northern regions is beneficial. It can be propagated by bending a stem down into the mud and fastening it with a rock or sticks.","Showy red flowers . Very attractive at the edge of a woodland garden. Good in both wetland and non wetland gardens. Nectar: Cloudless Giant Sulphur, Pipevine Swallowtail, Spicebush Swallowtail. WARNING: all parts are poisonous.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 194-195. 4) https://www.wildflower.org/plants/result.php?id_plant=LOCA2. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Lobelia+cardinalis&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=7041&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=34505#null"
"","Herbaceous","Carolina Anemone","Carolina Thimbleweed, Southern Thimbleweed","Anemone caroliniana","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","0.5","0.5","1","2.5","Sun","Low","Deciduous","Perennial","Spring","White, Blue","Nectar","Rocky, Dry","Bees","Grassland","","Short bloom time. Flowers showy white to blue.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ANCA9. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Anemone+caroliniana&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20606&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18437#null"
"","Tree","Carolina Buckthorn","Carolina False Buckthorn, Yellow Buckthorn, Indian Cherry, Yellowwood","Rhamnus caroliniana","Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","12","15","8","12","Part Shade","Low","Deciduous","Perennial","Spring","White, Yellow, Green","Berry, Forage, Nectar, Larval Host","Sand, Loam, Clay, Limestone","Butterflies, Birds, Small Mammals, Deer","Woodland","Prune for shape or to raise canopy","Prettiest under the shade of a large tree.  Needs 3-4 hrs of sun a day. Has glossy leaves.  Can withstand periodic flooding, but can't take standing water. Flowers not showy, yellowish, in small clusters at the bases of the leaves, opening in May and June.  Larval Host: Snout Butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 299.. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28572#null. 5) https://www.wildflower.org/plants/result.php?id_plant=FRCA13. 6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Rhamnus+caroliniana&formsubmit=Search+Terms. 7) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21004&locationType=County&mapType=Normal. "
"","Vine","Carolina Jessamine","Yellow Jessamine, Evening Trumpetflower, Poor Man's Rope","Gelsemium sempervirens","Western Gulf Coastal Plain","15","20","7","8","Sun, Part Shade","Low","Evergreen","Perennial","Spring, Winter","Yellow","Nectar","Sand, Loam, Clay","Butterflies, Hummingbirds, Bees","Woodland","Train on trellis, arbor, wall, fence, small trees.","Showy, fragrant flowers. Attracts Hummingbirds and butterflies. Groundcover or high-climbing vine. Blooms mainly early spring, may begin as early as December, may bloom briefly in fall. Flowers, leaves, & roots are poisonous. Attracts Spicebush Swallowtail Butterflies.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 359. 4) https://www.wildflower.org/plants/result.php?id_plant=GESE. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Gelsemium+sempervirens&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12221&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29932#null"
"","Shrub","Carolina Rose","Pasture Rose","Rosa carolina","Edwards Plateau, Western Gulf Coastal Plain","1","6","3","4","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer","Pink","Flowers","Sand, Rocky, Acid, Well Drained","Birds, Bees","Grassland,Woodland","One of the most shade-tolerant roses. Grows best in open, sunny locations. It is susceptible to fungal problems.","A low, freely suckering shrub. Thorny stems with fragrant, 5-petaled, pink flowers. Flowers occur singly or in small clusters. The fruit turns from dark green to bright red as it ripens.","1) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21671&locationType=County&mapType=Normal, 2) https://www.wildflower.org/plants/result.php?id_plant=ROCA4, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24808#null, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Rosa+carolina&formsubmit=Search+Terms, 5) Wasowski and Wasowski, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 259"
"","Vine","Carolina Snailseed","Carolina Moonseed","Cocculus carolinus","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","3","15","0.5","1","Part Shade","Low","Deciduous","Perennial","Summer","Green","Berry","Sand, Loam, Clay, Moist, Neutral","Birds","Woodland","Best in a naturalistic garden where some spreading is appreciated. Can be an aggressive colonizer.","Common fast-growing, but short-lived, vine with deep green heart shaped leaves. Climbs by twining stems, does not have stickers; clusters of lustrous red berries Sept-Nov. Stems are not very woody and easily broken. Root system shallow/suckering. Dies back considerably each season. Birds eat the red berries.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=COCA. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cocculus+carolinus&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=14994&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt."
"","Shrub","Catclaw Acacia","Roemer Acacia, Roemer's Acacia, Roundflower Catclaw, Round-flowered Catclaw, Catclaw","Senegalia roemeriana","Edwards Plateau, Southern Texas Plains","15","20","10","15","Sun","Very Low, Low","Deciduous","Perennial","Spring","White, Green","Seeds, Nectar","Sand, Clay, Gravelly, Rocky, Limestone","Butterflies, Birds, Bees","Grassland","Prune for shape and size.","Fast growing prickly shrub or small tree. Leaves divided into numerous leaflets 1/2"" long or less. Fruit a brown to reddish. Flat, narrow curved pod up to 4” long. Twigs are armed with short, curved prickles (hence the common name catclaw).","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=SERO. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11664&locationType=County&mapType=Normal, 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=819959#null"
"","Tree","Cedar Elm","Fall Elm, Basket Elm, Scrub Elm, Lime Elm, Texas Elm, Southern Rock Elm, Olmo","Ulmus crassifolia","Cross Timbers, East Central Texas Plains, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","50","75","25","35","Sun","Very Low, Low","Deciduous","Perennial","Summer, Fall","Green","Fall Color, Seeds, Nectar, Larval Host","Clay, Rocky, Alkaline, Poor Drainage","Butterflies, Birds","Woodland","Prune for shape or to raise canopy","Upright form. Can tolerate soils that are moderately compacted. Uplands and lowlands. Attractive ""winged"" bark on new stems.  Replaces Invasives: Chinese Tallow Tree, Chinaberry. Larval Host: Mourning Cloak, Question Mark.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 347-348. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23685&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19052#null, 6) https://www.wildflower.org/plants/result.php?id_plant=ULCR"
"","Herbaceous","Cedar Sage","","Salvia roemeriana","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","1","2","1","2","Part Shade","Very Low, Low","Deciduous","Perennial","Spring, Summer","Red","Nectar","Sand, Rocky, Limestone, Calcareous, Well Drained, Dry","Butterflies, Hummingbirds, Bees","Woodland","Remove seeds heads after flowering, then scatter in new areas to expand population.","Adds crimson color and attractive foliage to shady areas. Re-seeds easily. Also a good potted plant for the shade. Flowers attract hummingbirds and butterflies. Evolved to grow in the fine leaf mulch deposited under Ashe Juniper (Cedar).","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 346-208. 4) https://www.wildflower.org/plants/result.php?id_plant=SARO3. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13658&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=504998#null"
"","Grass & Sedge","Cedar Sedge","","Carex planostachys","Chihuahuan Deserts, Cross Timbers, Edwards Plateau, Texas Blackland Prairies","0","1","1","2","","Low","Evergreen","Perennial","Summer, Fall","Brown","Forage","Loam, Clay, Limestone, Caliche, Well Drained","Caterpillars, Grasshoppers, Beetles, Butterflies","Grassland,Woodland","Leave dead stems standing through Fall and Winter for insect habitat. Cut back dead stems in February before Spring growth. It can take occasional mowing and light foot traffic.","Can grow in the rich, loose, fast-draining soil created by cedars. Also found in deciduous woodland and as understory to taller grasses in meadows. Though lawn-grass short, it is a clumping sedge, not forming a solid turf, but it can be combined with low-growing plants to create a natural-looking herb layer. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CAPL3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Carex+planostachys&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8669&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39758#null"
"","Shrub","Cenizo","Texas Sage","Leucophyllum frutescens","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","5","8","4","5","Sun","Very Low, Low","Evergreen","Perennial","Spring, Summer","White, Pink, Purple","Nectar, Larval Host","Rocky, Calcareous, Well Drained","Butterflies, Hummingbirds, Moths, Bees","Grassland","Prune for natural look; do not shear or hedge","Gray shrub, color from leaves with densely covered silvery hairs that are soft to the touch. Leaves contrast with pink to lavender flowers which are nearly bell shaped and up to 1""; blooms off and on through the growing season and after rain. Green-leaf varieties also available. Typically a compact shrub, 2-5' tall, but occasionally reaches 8' in height and 4-6' in width. A grouping makes a good screen or hedge. Larval Host: Theona Checkerspot and Calleta Silkmoth. Replaces Invasives: Japanese Ligustrum","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 249. 4) https://www.wildflower.org/plants/result.php?id_plant=LEFR3. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Leucophyllum+frutescens&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23072&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=33629#null"
"","Grass & Sedge","Cherokee Sedge","","Carex cherokeensis","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","2","2.5","0.5","1","Part Shade","Medium","Evergreen","Perennial","Spring","White, Green, Brown","","Sand, Loam","","Woodland","Trim to contain.","Clumping sedge; coarser texture than most sedges and is one of the tallest.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CACH3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Carex+cherokeensis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8496&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39545#null"
"","Tree","Cherry Laurel","Carolina Cherry-laurel, Cherry-laurel, Laurel Cherry, Carolina Cherry Laurel","Prunus caroliniana","Texas Blackland Prairies, Western Gulf Coastal Plain","12","15","10","15","Part Shade","Medium, High","Deciduous","Perennial","Summer","Yellow","Fruit, Forage, Larval Host, Flowers","Sand, Loam, Clay, Moist, Dry","Butterflies, Birds, Small Mammals, Deer","Woodland","Prolonged saturation can cause root rot, particularly in clay soils. Shallow, nutrient-poor, rocky soils can cause chlorosis and heat stress.","Yellowish flowers, not showy. Bright red fruits turn black in the fall. The greatest use of Carolina Cherry-laurel is for providing a nearly carefree, dark green visual screen. Larval Host: Red Admiral, Tiger Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 297. 4) https://www.wildflower.org/plants/result.php?id_plant=PRCA. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21594&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24771#null"
